source_document,source_version,old_id,new_id,disposition,note
Reference Architecture Chapter 2,1.0.0,RBE-INF-001,RBE-IBR-001,ARCHITECTURE_COLLISION_RESOLVED,Information-barrier requirement separated from the infrastructure namespace.
Reference Architecture Chapter 2,1.0.0,RBE-AI-001,RBE-AI-130,ARCHITECTURE_COLLISION_RESOLVED,Later Chapter 17 definition retains RBE-AI-001.
Reference Architecture Chapter 2,1.0.0,RBE-AI-002,RBE-AI-131,ARCHITECTURE_COLLISION_RESOLVED,Later Chapter 17 definition retains RBE-AI-002.
Reference Architecture Chapter 11,1.0.0,RBE-OUT-001,RBE-OUT-010,ARCHITECTURE_COLLISION_RESOLVED,Earlier Chapter 1 definition retains RBE-OUT-001.
Reference Architecture Chapter 11,1.0.0,RBE-OUT-002,RBE-OUT-011,ARCHITECTURE_COLLISION_RESOLVED,Earlier Chapter 1 definition retains RBE-OUT-002.
RBE-001 Engineering Specification,1.0.0,RBE-API-001,RBE-ES-API-001,NAMESPACE_COLLISION_RESOLVED,Architecture retains the historical ID; engineering definition is superseded.
RBE-001 Engineering Specification,1.0.0,RBE-API-002,RBE-ES-API-002,NAMESPACE_COLLISION_RESOLVED,Architecture retains the historical ID; engineering definition is superseded.
RBE-001 Engineering Specification,1.0.0,RBE-API-003,RBE-ES-API-003,RENAMED_WITH_LINEAGE,Engineering requirement moved to the explicit RBE-ES namespace.
RBE-001 Engineering Specification,1.0.0,RBE-API-004,RBE-ES-API-004,RENAMED_WITH_LINEAGE,Engineering requirement moved to the explicit RBE-ES namespace.
RBE-001 Engineering Specification,1.0.0,RBE-ARC-001,RBE-ES-ARC-001,NAMESPACE_COLLISION_RESOLVED,Architecture retains the historical ID; engineering definition is superseded.
RBE-001 Engineering Specification,1.0.0,RBE-ARC-002,RBE-ES-ARC-002,NAMESPACE_COLLISION_RESOLVED,Architecture retains the historical ID; engineering definition is superseded.
RBE-001 Engineering Specification,1.0.0,RBE-ARC-003,RBE-ES-ARC-003,NAMESPACE_COLLISION_RESOLVED,Architecture retains the historical ID; engineering definition is superseded.
RBE-001 Engineering Specification,1.0.0,RBE-ARC-004,RBE-ES-ARC-004,NAMESPACE_COLLISION_RESOLVED,Architecture retains the historical ID; engineering definition is superseded.
RBE-001 Engineering Specification,1.0.0,RBE-AUD-001,RBE-ES-AUD-001,NAMESPACE_COLLISION_RESOLVED,Architecture retains the historical ID; engineering definition is superseded.
RBE-001 Engineering Specification,1.0.0,RBE-AUD-002,RBE-ES-AUD-002,NAMESPACE_COLLISION_RESOLVED,Architecture retains the historical ID; engineering definition is superseded.
RBE-001 Engineering Specification,1.0.0,RBE-AUD-003,RBE-ES-AUD-003,NAMESPACE_COLLISION_RESOLVED,Architecture retains the historical ID; engineering definition is superseded.
RBE-001 Engineering Specification,1.0.0,RBE-AUD-004,RBE-ES-AUD-004,RENAMED_WITH_LINEAGE,Engineering requirement moved to the explicit RBE-ES namespace.
RBE-001 Engineering Specification,1.0.0,RBE-CON-001,RBE-ES-CON-001,NAMESPACE_COLLISION_RESOLVED,Architecture retains the historical ID; engineering definition is superseded.
RBE-001 Engineering Specification,1.0.0,RBE-CON-002,RBE-ES-CON-002,NAMESPACE_COLLISION_RESOLVED,Architecture retains the historical ID; engineering definition is superseded.
RBE-001 Engineering Specification,1.0.0,RBE-DEC-001,RBE-ES-DEC-001,SEMANTIC_NORMALISATION_AND_NAMESPACE_COLLISION_RESOLVED,"Requirement was renamespaced and revised by the v1.1.0 canonical state, verdict, or acceptance-test normalization; compare the source-qualified lineage."
RBE-001 Engineering Specification,1.0.0,RBE-DEC-002,RBE-ES-DEC-002,SEMANTIC_NORMALISATION_AND_NAMESPACE_COLLISION_RESOLVED,"Requirement was renamespaced and revised by the v1.1.0 canonical state, verdict, or acceptance-test normalization; compare the source-qualified lineage."
